	Name of Organization	Contact Name	Address	City	State	Address (2)	City (2)	State (2)	GEOFIPS	Zip code	Contact Info	County	Industry	Industry (2nd)	Industry (3rd)	Value Network	Value Network (2nd)	Value Network (3rd)	Business Category	Business Category (2nd)	Business Category (3rd)	# of Employees	Products	Top Three ingredients	Affiliation 	Website	Various Add on	Opening Date	Over Ten Years Running	Economic_Measure_Code
359	Urban Orchard Cider Company	Lori Miller	210 Haywood Rd.	Asheville	NC				37021.0	28806	828-691-8767	Buncombe 	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Beverage	Brewing		http://www.urbanorchardcider.com		0		WCUR_REAS_NP00
360	"USDA- Agriculture Dept-Farm Services
"		193 Thomas Heights Rd.	Franklin	NC				37021.0	28734	828-349-2000	Macon	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	support farming and regional ED			https://www.fsa.usda.gov/		0		WCUR_REAS_NP00
361	"USDA- Agriculture Dept-Farm Services
"		200 WT Weaver Blvd.	Asheville	NC				37113.0	28804	828-257-4320	Buncombe	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	support farming and regional ED			https://www.fsa.usda.gov/		0		WCUR_REAS_NP00
362	"USDA- Agriculture Dept-Farm Services
"		4388 US 25/70 Hwy.	Marshall	NC				37115.0	28753	828-649-2712	Madison	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	support farming and regional ED			https://www.fsa.usda.gov/		0		WCUR_REAS_NP00
363	"USDA- Farm service agency-business development
"		589 Raccoon Rd., Suite 226	Waynesville	NC				37087.0	28786	828-456-6341	Haywood	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	support farming and regional ED			https://www.fsa.usda.gov/		0		WCUR_REAS_NP00
364	"USDA- National Institute of Food and Agriculture
"		589 Raccoon Rd., Suite 226	Waynesville	NC				37087.0	28786	828-456-6341	Haywood	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	support farming and regional ED	funding and partnership		https://nifa.usda.gov/	provides leadership and funding for programs that advance agriculture-related sciences. Invests in and support initiatives that ensure the long-term viability of agriculture	0		WCUR_REAS_NP00
365	USDA- Rural Business-Cooperative Service		589 Raccoon Rd., Suite 226	Waynesville	NC				37087.0	28786	828-456-6341	Haywood	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	grow ag business and rural ED	capital, tech support and education		https://www.rd.usda.gov/about-rd/agencies/rural-business-cooperative-service	 provide the capital, technical support, education and entrepreneurial skills to start and grow businesses in agricultural markets and bio-based economies	0		WCUR_REAS_NP00
366	USDA- Rural Development Innovation Center	Claudette Fernandez							11000.0	28786	202-245-1175	Washington D	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Regional Rural Economic Dev	Supports strategic innovative regional ED 		https://www.rd.usda.gov/about-rd/offices/rural-development-innovation-center	works to transform rural communities through strategic partnerships, data analytics and evaluation, and regulatory reform	0		WCUR_REAS_NP00
367	Valentine Spa/Leigh Valentine Beaty	Ray Nenow	141 Laurel Hill Dr.	Rutherfordton	NC				37161.0	28139	828-286-4226	Rutherford	Personal Products	Wellness		End Consumer Distribution			Personal and Health Care			0	Personal Products/Wellness	Makeup		http://www.valentinespa.com		0		WCUR_REAS_NP00
368	Valley River Brewery and Eatery		71 Tennessee St.	Murphy	NC				37039.0	28906	828-837-2337	Cherokee	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beer and food products		https://www.yelp.com/biz/valley-river-brewery-murphy	Small batch brewing, pizzeria in 2 locations	42401		WCUR_REAS_NP00
369	Valley River Vineyards & Winery		4689 Martins Creek Rd.	Murphy	NC				37039.0	28906	828-321-5333	Cherokee	Vineyard	Winery		Processing and Wholesale Distribution	End Consumer Distribution		Agriculture	Tourism		0	Wine	Wine and food products		https://www.ncwine.org/listing/valley-river-vineyards	A 12-acre farm with 3-acre vineyard, & winery.  - tasting room, wine sales, home winery supplies, wine	0		WCUR_REAS_NP00
370	Venture Asheville-Elevate program		36 Montford Ave.	Asheville	NC				37021.0	28801		Buncombe	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Entrepreneurship start up resources	mentorship planning and funding		http://ventureasheville.com/elevate/	enables startup entrepreneurs to navigate the day-to-day challenges of building great companies and develop their skills as effective leaders 	0		WCUR_REAS_NP00
371	Villagers: Urban Homestead Supply		278 Haywood Rd.	Asheville	NC				37021.0	28806	828-215-9569	Buncombe	Merchantile			End Consumer Distribution			Agriculture			0	Homestead supplies	Tools for organic gardening, food preservation, & medicinal herbalism		https://forvillagers.com/	offering tools, supplies + classes to support healthy lifestyle activities	0		WCUR_REAS_NP00
372	Violet Owl Wellness		62 Wall St.	Asheville	NC				37021.0	28801	828-785-3041	Buncombe	Alternative Medicine			Technical Assistance, Educational Institutions and Support Programs			Personal and Health Care	Education and Research		0	healing sanctuary using yoga, massage, bodyworks, events and w			http://violetowlwellness.com/		0		WCUR_REAS_NP00
373	Waggers Dog Depot	"""Natalie"""	1020 Merrimon Ave. #102	Asheville	NC				37021.0	28804	828-271-4741	Buncombe	Pet Products			End Consumer Distribution			Home and Garden	Food Manufacturing and Packaging		0	Shampoo, Treats		Blue Ridge Naturally	http://www.waggersdogdepot.com/	Mainly a groomer	0		WCUR_REAS_NP00
374	Wake Foot Sanctuary and Shop		1 Page Ave.	Asheville	NC				37021.0	28801	828-575-9799	Buncombe	Wellness			End Consumer Distribution			Personal and Health Care			0	Foot Sanctuary and spa	End Consumer Distribution products		http://wakespa.com/		0		WCUR_REAS_NP00
375	Walnut Hollow Ranch		1100 Carter Cove Rd.	Hayesville	NC				37043.0	28904	828-389-8466	Clay	All Natural Meat			Raw Materials	End Consumer Distribution		Agriculture			0	All Natural Farm Raised Beef	Processed and Packaged in 1/4				0		WCUR_REAS_NP00
376	Warhorse Solutions LLC	Tawana Weicker	2212 Bill Collins Rd.	Columbus	NC				37149.0	28722	828-817-0350	Polk	Cleaning			Processing and Wholesale Distribution			Home and Garden			0	Cleaning Supplies			https://www.warhorsesolutions.com/		0		WCUR_REAS_NP00
377	Warren Wilson College- Farm		701 Warren Wilson Rd.	Swannanoa	NC				37021.0	28778	800-934-3536	Buncombe	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Applied Research	practice “sustainable agriculture” –		https://www.warren-wilson.edu/farm/		0		WCUR_REAS_NP00
378	Waynesville Soda Jerks	Chris Allen	144 Industrial Park Dr., #A3	Waynesville	NC				37087.0	28786	828-728-8589	Haywood	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Product	Craft soda beverage using locally sourced fruit		https://www.waynesvillesodajerks.com/		0		WCUR_REAS_NP00
379	WCU SBTDC	Larry Trout	226C Forsyth Bld.	Cullowhee	NC				37021.0	28723	828-227-3504	Jackson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Counseling, training	University based business advisory service		http://www.sbtdc.org/offices/wcu/	University based business advisory service	0		WCUR_REAS_NP00
380	WCU SBTDC	Sandra Dennison	46 Haywood St., Suite 212	Asheville	NC				37099.0	28801	828-251-6025	Buncombe	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Counseling, training	University based business advisory service		http://www.sbtdc.org/offices/wcu/	University based business advisory service	0		WCUR_REAS_NP00
381	Wedge Brewing Company		37 Paynes Way	Asheville	NC	5 Foundy St.	Asheville	NC	37021.0	28801	828-505-2792	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage and venue rental 		https://www.wedgebrewing.com/	2 locations, production, taproom and outside seating.  Local rotating food truck and venue rental space	39569	Yes	WCUR_REAS_NP00
382	Wellspring Wellness Center		966 Tunnel Rd.	Asheville	NC				37021.0	28805	828-298-2488	Buncombe	Wellness	Education		End Consumer Distribution			Personal and Health Care	Education and Research		0	Transformation education through wellness	End Consumer Distributions		https://www.wellspringasheville.com/		0		WCUR_REAS_NP00
383	Wendy Town Farms 	Wendy Wright		Marshall	NC				37115.0	28753	817-992-7960	Madison	Food Product			Raw Materials			Agriculture			0	Food Product	Grain, Herbs, Vegetables	Local Harvest	http://wendytownfarms.com/index.html		0		WCUR_REAS_NP00
384	West Asheville Tailgate Market		718 Haywood Rd.	Asheville	NC				37021.0	28806	828-545-4516	Buncombe	Tailgate Market			End Consumer Distribution			Agriculture			0	Produce and value added food products				Seasonal --Midweek April through November	0		WCUR_REAS_NP00
385	Whistle Hop Brewing Company		1288 Charlotte Hwy.	Fairview	NC				37021.0	28730	828-338-9447	Buncombe	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft  Beer	Craft beverage, music venue		https://whistlehop.com/	Production, taproom in repurposed train cars with rotating food trucks and venue for live music	42005		WCUR_REAS_NP00
386	White Labs Kitchen and Tap		172 S. Charlotte St.	Asheville	NC				37021.0	28801	828-974-3868	Buncombe	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer, yeast provider, food products	Craft Beverage, yeast for other breweries		https://www.whitelabs.com/locations/white-labs-kitchen-tap	full Restaurant, craft taproom serving small batch brewing and other local craft brews.	43009		WCUR_REAS_NP00
387	Whiteside Brewing Co	Bob Dews	128 Hwy 107 N.	Cashiers	NC				37099.0	28717	828-506-4030	Jackson	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage and food products		http://whitesidebrewing.com/	Taproom with significant outdoor space with accommodations available at Laurelwood Inn beside the brewery.	43252		WCUR_REAS_NP00
388	Whole Store		3090 West US Hwy 64 #105	Murphy	NC				37039.0	28906	828-837-5408	Cherokee	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Natural food, supplements, pet care and beauty products, bulk 	Natural food, supplements, pet care and beauty products, bulk herbs and more		https://www.facebook.com/pages/The-Whole-Store/147773725241873	Natural food, supplements, pet care and beauty products, bulk herbs and more	0		WCUR_REAS_NP00
389	Wicked Weed Brewing Pub/Wicked Weed Funkatorium/Wicked Weed Funkhouse		91 Biltmore Ave.	Asheville	NC	147 Coxe Ave.	Asheville	NC	37021.0	28801	828-575-9599	Buncombe	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer and Food Products	Craft beverage, food products		https://www.wickedweedbrewing.com/	Purchased by AB-InBev in 2017 but not relocated	0		WCUR_REAS_NP00
390	WNC Farm Links	Suzanna Denison	372 Merrimon Ave.	Asheville	NC				37021.0	28801	828-785-4284	Buncombe	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Networking, Education and regional coaching support	WNC FarmLink matches farm and forest land owners		https://wncfarmlink.org/		0		WCUR_REAS_NP00
391	WNC G.R.U.B.S	Mary Harrill	305 Orchard Ct.	Fairview	NC				37021.0	28730	828-777-1233	Buncombe	Processing and Wholesale Distribution			Processing and Wholesale Distribution			Food Manufacturing and Packaging			0	Processor	Processor		https://wncgrubs.com/		0		WCUR_REAS_NP00
392	Wolf Gang Bakery	Sandra Brown	 33 Town Square Blvd.	Asheville	NC				37021.0	28803	828-650-9950	Buncombe 	Pet Products			End Consumer DIstribution			Food Manufacturing and Packaging			0	High end Pet Products			http://woofgangbakery.com/dt_gallery/stores/asheville/		0		WCUR_REAS_NP00
393	Wounded Warrior Ointment	Clare Schwartz	1461 Sand Hill Rd.	Candler	NC				37021.0	28715	800-232-7713	Buncombe	Personal Products	Pet Products		Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care	Food Manufacturing and Packaging		0	Personal Products/Pet products	natural ointment for human and pet use		http://www.woundedwarriorointment.com/	Our mission is to make an effective, all natural skin treatment using the purest and freshest ingredients, sourced from local farmers and made in small batches.	0		WCUR_REAS_NP00
394	Wyld Haven Farms		58 Reed Rd.	Fairview	NC				37021.0	28730	828-835-2231	Buncombe	Farm			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Personal and Health Care			0	Aroma Therapy essential oils	Aroma Therapy essential oils		http://wyldhaven.com/	over 150, 100% pure  Therapeutic  Essential Oils, 20+ Essential Oils Blends, and 20+ Massage Oil Blends, all hand-bottled on our farm in NC, plus other Aromatherapy products sold End Consumer Distribution with special discounts for Healing Arts Practitioners and Who	0		WCUR_REAS_NP00
395	Yellow Branch Cheese and Pottery		1073 Old Yellow Branch Rd.	Robbinsville	NC				37075.0	28771	828-479-6710	Graham	Farm			Processing and Wholesale Distribution	End Consumer Distribution		Agriculture	Food Manufacturing and Packaging		0	Food Product	Goat and Dairy Cheese		http://www.yellowbranch.com/	Hand crafted pottery studio and End Consumer Distribution shop Agi-tourism for farm	0		WCUR_REAS_NP00
396	Yellow Creek Botanical Institute	Robin Suggs	P.O. Box 761	Robbinsville	NC				37075.0	28771		Graham	Research			Testing Labs, Research Institutions and Product Development			Education and Research			0	research and demonstration Farm	Research		http://www.herbs.org/current/ycbi.htm	Partner with the Herb Research Foundation	0		WCUR_REAS_NP00
397	Yellow Sun Brewing Co.  		127 Trade St.	Rutherfordton	NC				37161.0	28139	828-375-0089	Rutherford	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.yellowsunbrewing.com/	Small batch brewery with Pizzeria	0		WCUR_REAS_NP00
398	Zebulon Artisan Ales		8 Merchants Alley	Weaverville	NC				37021.0	28787		Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage 		http://zebulonbrewing.com/beer/index.html	Artisan Production and Taproom, single batch beers, no batch the same	42401		WCUR_REAS_NP00
399	Zen Spa		4144 Cashiers Rd.	Highlands	NC				37113.0	28741	919-413-7411	Macon	Spa			End Consumer Distribution			Personal and Health Care			0	Spa Treatment and products			http://www.zenspabyangeljoy.com/		0		WCUR_REAS_NP00
400	Zillacoah Beer Co.		870 Riverside Dr.	Woodfin	NC				37021.0	28804	828-484-6502	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage, wild and sour craft beverage		https://zillicoahbeer.com/	Production, spacious taproom with outdoor space on the French Broad River. Wild and sour beers	43009		WCUR_REAS_NP00
401	Zimmerman's Berry Farms	Pam Zimmerman	2260 Revere Rd.	Marshall	NC				37115.0	28753	828-656-2056	Madison	Food Product			Raw Materials	End Consumer Distribution		Agriculture			0	Berries	Blackberry, Elderberry,	Appalachian Grown	http://www.zimmermansberryfarm.com/		0		WCUR_REAS_NP00
